,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate
265,CatBoost Regressor Tuned,0.7371392179710633,0.8630737083955733,2.0,1550.0,0.02
266,CatBoost Regressor Tuned,0.7774100598972009,0.8608331234378463,2.0,1550.0,0.03
267,CatBoost Regressor Tuned,0.8040751233066765,0.8554267802911685,2.0,1550.0,0.04
268,CatBoost Regressor Tuned,0.8266261079366312,0.8492593868736961,2.0,1550.0,0.05
269,CatBoost Regressor Tuned,0.8581563052675819,0.8416205611424176,2.0,1550.0,0.07
270,CatBoost Regressor Tuned,0.8920586808035397,0.8241121194736453,2.0,1550.0,0.1
271,CatBoost Regressor Tuned,0.456320039378487,0.6841376328913108,2.0,1600.0,0.001
272,CatBoost Regressor Tuned,0.6346658983008429,0.850205970648423,2.0,1600.0,0.005
273,CatBoost Regressor Tuned,0.6582274798905621,0.8602703856870136,2.0,1600.0,0.007
274,CatBoost Regressor Tuned,0.6820247356602476,0.8647089780293545,2.0,1600.0,0.01
275,CatBoost Regressor Tuned,0.7400893323578561,0.8625866986206883,2.0,1600.0,0.02
276,CatBoost Regressor Tuned,0.780599008628365,0.8610947263321629,2.0,1600.0,0.03
277,CatBoost Regressor Tuned,0.8069759811526125,0.8535787256594428,2.0,1600.0,0.04
278,CatBoost Regressor Tuned,0.8296856185277222,0.8478636486661513,2.0,1600.0,0.05
279,CatBoost Regressor Tuned,0.8615975470235062,0.8391661556985098,2.0,1600.0,0.07
280,CatBoost Regressor Tuned,0.8948074507168575,0.8212705456347569,2.0,1600.0,0.1
281,CatBoost Regressor Tuned,0.47154961209949464,0.7024867523817386,2.0,1750.0,0.001
282,CatBoost Regressor Tuned,0.6403377297688231,0.8525278453374,2.0,1750.0,0.005
283,CatBoost Regressor Tuned,0.6646696433138664,0.8615952062614773,2.0,1750.0,0.007
284,CatBoost Regressor Tuned,0.6883760347072159,0.8659170662821063,2.0,1750.0,0.01
285,CatBoost Regressor Tuned,0.7480198285144466,0.8616820932179905,2.0,1750.0,0.02
286,CatBoost Regressor Tuned,0.7895612188684511,0.8582910908545403,2.0,1750.0,0.03
287,CatBoost Regressor Tuned,0.8155677893703281,0.851380765340478,2.0,1750.0,0.04
288,CatBoost Regressor Tuned,0.8384525755954402,0.8453297971908393,2.0,1750.0,0.05
289,CatBoost Regressor Tuned,0.8705316846155777,0.8334340710813446,2.0,1750.0,0.07
290,CatBoost Regressor Tuned,0.901484857383083,0.8189505647729719,2.0,1750.0,0.1
291,CatBoost Regressor Tuned,0.4936363502209925,0.7276932861717516,2.0,2000.0,0.001
292,CatBoost Regressor Tuned,0.650074388849577,0.8562811673445123,2.0,2000.0,0.005
293,CatBoost Regressor Tuned,0.6739801281965732,0.864343168319783,2.0,2000.0,0.007
